Title,Author,Rating
Pride and Prejudice,Jane Austen,"4.29 avg rating — 4,409,991 ratings"
1984,George Orwell,"4.19 avg rating — 4,861,042 ratings"
Crime and Punishment,Fyodor Dostoevsky,"4.27 avg rating — 953,579 ratings"
Hamlet,William Shakespeare,"4.02 avg rating — 985,982 ratings"
One Hundred Years of Solitude,Gabriel García Márquez,"4.12 avg rating — 1,009,748 ratings"
Anna Karenina,Leo Tolstoy,"4.09 avg rating — 874,003 ratings"
The Odyssey,Homer,"3.81 avg rating — 1,116,067 ratings"
The Stranger,Albert Camus,"4.03 avg rating — 1,186,785 ratings"
The Brothers Karamazov,Fyodor Dostoevsky,"4.37 avg rating — 346,331 ratings"
Great Expectations,Charles Dickens,"3.79 avg rating — 826,777 ratings"
Lolita,Vladimir Nabokov,"3.88 avg rating — 881,035 ratings"
The Old Man and the Sea,Ernest Hemingway,"3.80 avg rating — 1,203,852 ratings"
War and Peace,Leo Tolstoy,"4.16 avg rating — 340,817 ratings"
Don Quixote,Miguel de Cervantes Saavedra,"3.90 avg rating — 282,982 ratings"
The Iliad,Homer,"3.91 avg rating — 471,786 ratings"
Madame Bovary,Gustave Flaubert,"3.70 avg rating — 347,435 ratings"
The Trial,Franz Kafka,"3.95 avg rating — 348,926 ratings"
The Divine Comedy,Dante Alighieri,"4.08 avg rating — 159,150 ratings"
"Moby-Dick or, The Whale",Herman Melville,"3.55 avg rating — 579,839 ratings"
King Lear,William Shakespeare,"3.91 avg rating — 225,402 ratings"
Love in the Time of Cholera,Gabriel García Márquez,"3.94 avg rating — 518,416 ratings"
Mrs. Dalloway,Virginia Woolf,"3.79 avg rating — 321,426 ratings"
The Complete Fairy Tales,Hans Christian Andersen,"4.29 avg rating — 107,642 ratings"
Othello,William Shakespeare,"3.89 avg rating — 406,699 ratings"
The Arabian Nights,Anonymous,"4.03 avg rating — 78,587 ratings"
Ulysses,James Joyce,"3.76 avg rating — 131,321 ratings"
The Sound and the Fury,William Faulkner,"3.86 avg rating — 186,685 ratings"
Gulliver’s Travels,Jonathan Swift,"3.58 avg rating — 282,529 ratings"
"Oedipus Rex (The Theban Plays, #1)",Sophocles,"3.72 avg rating — 223,827 ratings"
The Canterbury Tales,Geoffrey Chaucer,"3.52 avg rating — 227,898 ratings"
"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,"4.15 avg rating — 203,250 ratings"
The Idiot,Fyodor Dostoevsky,"4.21 avg rating — 193,370 ratings"
"Du côté de chez Swann (À la recherche du temps perdu, #1)",Marcel Proust,"4.15 avg rating — 63,269 ratings"
The Collected Tales of Edgar Allan Poe,Edgar Allan Poe,"4.28 avg rating — 1,596 ratings"
To the Lighthouse,Virginia Woolf,"3.80 avg rating — 193,623 ratings"
"Beloved (Beloved Trilogy, #1)",Toni Morrison,"3.96 avg rating — 453,727 ratings"
"Faust, First Part",Johann Wolfgang von Goethe,"3.86 avg rating — 128,529 ratings"
Blindness,José Saramago,"4.17 avg rating — 305,862 ratings"
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,"3.74 avg rating — 385,909 ratings"
Ficciones,Jorge Luis Borges,"4.41 avg rating — 71,169 ratings"
Zorba the Greek,Nikos Kazantzakis,"4.04 avg rating — 53,952 ratings"
The Death of Ivan Ilych,Leo Tolstoy,"4.13 avg rating — 180,129 ratings"
Middlemarch,George Eliot,"4.02 avg rating — 168,412 ratings"
Midnight’s Children,Salman Rushdie,"3.98 avg rating — 127,392 ratings"
